abr_id,cobra_tournament_id,reason,verified_by,verified_at
2850,1851,"NISEI World Championship 2020 (abr id 2850, players_count=294) was split by Cobra into one row per day; this is Day 1A (player_count=121). Together with cobra 1852 (Day 1B, player_count=173), the two cobra rows sum to exactly abr's aggregate count (121+173=294), confirming both days are part of the same single abr-recorded event.",Marcus Morrisey,2026-09-05
2850,1852,"NISEI World Championship 2020 (abr id 2850, players_count=294) was split by Cobra into one row per day; this is Day 1B (player_count=173). Together with cobra 1851 (Day 1A, player_count=121), the two cobra rows sum to exactly abr's aggregate count (121+173=294), confirming both days are part of the same single abr-recorded event.",Marcus Morrisey,2026-09-05
3082,2201,"NISEI World Championship 2021 (abr id 3082, players_count=201) was split by Cobra into one row per day; this is Day 1A (player_count=86). Together with cobra 2207 (Day 1B, player_count=115), the two cobra rows sum to exactly abr's aggregate count (86+115=201).",Marcus Morrisey,2026-09-05
3082,2207,"NISEI World Championship 2021 (abr id 3082, players_count=201) was split by Cobra into one row per day; this is Day 1B (player_count=115). Together with cobra 2201 (Day 1A, player_count=86), the two cobra rows sum to exactly abr's aggregate count (86+115=201).",Marcus Morrisey,2026-09-05
4527,3650,"UK Nationals 2024 - Classique (abr id 4527, players_count=24) was split by Cobra into 4 pods; this is Pod 1 (player_count=6). Together with cobra 3652/3653/3654 (Pods 4/3/2, player_count=6 each), the four cobra rows sum to exactly abr's aggregate count (6+6+6+6=24).",Marcus Morrisey,2026-09-05
4527,3652,"UK Nationals 2024 - Classique (abr id 4527, players_count=24) was split by Cobra into 4 pods; this is Pod 4 (player_count=6). Together with cobra 3650/3653/3654 (Pods 1/3/2, player_count=6 each), the four cobra rows sum to exactly abr's aggregate count (6+6+6+6=24).",Marcus Morrisey,2026-09-05
4527,3653,"UK Nationals 2024 - Classique (abr id 4527, players_count=24) was split by Cobra into 4 pods; this is Pod 3 (player_count=6). Together with cobra 3650/3652/3654 (Pods 1/4/2, player_count=6 each), the four cobra rows sum to exactly abr's aggregate count (6+6+6+6=24).",Marcus Morrisey,2026-09-05
4527,3654,"UK Nationals 2024 - Classique (abr id 4527, players_count=24) was split by Cobra into 4 pods; this is Pod 2 (player_count=6). Together with cobra 3650/3652/3653 (Pods 1/4/3, player_count=6 each), the four cobra rows sum to exactly abr's aggregate count (6+6+6+6=24).",Marcus Morrisey,2026-09-05
5633,5029,"Ciara Maxey Memorial Classique @ EMEA 2026 (abr id 5633, players_count=30) was split by Cobra into 4 pods; this is Pod 1 (player_count=8). Together with cobra 5030/5031/5032 (Pods 2/3/4, player_count=8/8/6), the four cobra rows sum to exactly abr's aggregate count (8+8+8+6=30).",Marcus Morrisey,2026-09-05
5633,5030,"Ciara Maxey Memorial Classique @ EMEA 2026 (abr id 5633, players_count=30) was split by Cobra into 4 pods; this is Pod 2 (player_count=8). Together with cobra 5029/5031/5032 (Pods 1/3/4, player_count=8/8/6), the four cobra rows sum to exactly abr's aggregate count (8+8+8+6=30).",Marcus Morrisey,2026-09-05
5633,5031,"Ciara Maxey Memorial Classique @ EMEA 2026 (abr id 5633, players_count=30) was split by Cobra into 4 pods; this is Pod 3 (player_count=8). Together with cobra 5029/5030/5032 (Pods 1/2/4, player_count=8/8/6), the four cobra rows sum to exactly abr's aggregate count (8+8+8+6=30).",Marcus Morrisey,2026-09-05
5633,5032,"Ciara Maxey Memorial Classique @ EMEA 2026 (abr id 5633, players_count=30) was split by Cobra into 4 pods; this is Pod 4 (player_count=6). Together with cobra 5029/5030/5031 (Pods 1/2/3, player_count=8/8/8), the four cobra rows sum to exactly abr's aggregate count (8+8+8+6=30).",Marcus Morrisey,2026-09-05
