abr_id,cobra_tournament_id,reason,verified_by,verified_at
2744,1677,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2731,1689,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2754,1695,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2738,1696,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2745,1699,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2752,1692,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2764,1714,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2739,1721,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2766,1716,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2790,1774,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2779,1777,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2795,1778,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2797,1782,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2803,1789,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2799,1791,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2840,1800,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2818,1804,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2804,1808,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2811,1820,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2831,1832,"human-reviewed unmatched_tournaments.csv export (sorted by date, rows 1-2124)",Marcus Morrisey,2026-09-05
2856,1880,"user override of automated verifier rejection, confirmed as the same real-world tournament despite a player-count/name discrepancy the verifier flagged: Both named ""Standard 1""/""Standard 1A""; same date and exact player count (8).",Marcus Morrisey,2026-09-05
